customerNumber,customerName,contactFirstName,contactLastName,phone,addressLine1,addressLine2,city,state,postalCode,country
166,Handji Gifts& Co,Wendy,Victorino,+65 224 1555,106 Linden Road Sandown,2nd Floor,Singapore,,069045,Singapore
167,Herkku Gifts,Veysel,Oeztan,+47 2267 3215,Brehmen St. 121,PR 334 Sentrum,Bergen,,N 5804,Norway  
168,American Souvenirs Inc,Keith,Franco,2035557845,149 Spinnaker Dr.,Suite 101,New Haven,CT,97823,USA
169,Porto Imports Co.,Isabel ,de Castro,(1) 356-5555,Estrada da saúde n. 58,,Lisboa,,1756,Portugal
171,Daedalus Designs Imports,Martine ,Rancé,20.16.1555,"184, chaussée de Tournai",,Lille,,59000,France
172,"La Corne D'abondance, Co.",Marie,Bertrand,(1) 42.34.2555,"265, boulevard Charonne",,Paris,,75012,France
173,Cambridge Collectables Co.,Jerry,Tseng,6175555555,4658 Baden Av.,,Cambridge,MA,51247,USA
175,Gift Depot Inc.,Julie,King,2035552570,25593 South Bay Ln.,,Bridgewater,CT,97562,USA
177,Osaka Souveniers Co.,Mory,Kentary,+81 06 6342 5555,1-6-20 Dojima,,Kita-ku,Osaka, 530-0003,Japan
181,Vitachrome Inc.,Michael,Frick,2125551500,2678 Kingston Rd.,Suite 101,NYC,NY,10022,USA
186,"Toys of Finland, Co.",Matti,Karttunen,90-224 8555,Keskuskatu 45,,Helsinki,,21240,Finland
187,"AV Stores, Co.",Rachel,Ashworth,(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
189,"Clover Collections, Co.",Dean,Cassidy,+353 1862 1555,25 Maiden Lane,Floor No. 4,Dublin,,2,Ireland
198,Auto-Moto Classics Inc.,Leslie,Taylor,6175558428,16780 Pompton St.,,Brickhaven,MA,58339,USA
201,"UK Collectables, Ltd.",Elizabeth,Devon,(171) 555-2282,"12, Berkeley Gardens Blvd",,Liverpool,,WX1 6LT,UK
202,Canadian Gift Exchange Network,Yoshi ,Tamuri,(604) 555-3392,1900 Oak St.,,Vancouver,BC,V3F 2K1,Canada
204,Online Mini Collectables,Miguel,Barajas,6175557555,7635 Spinnaker Dr.,,Brickhaven,MA,58339,USA
205,Toys4GrownUps.com,Julie,Young,6265557265,78934 Hillside Dr.,,Pasadena,CA,90003,USA
206,"Asian Shopping Network, Co",Brydey,Walker,+612 9411 1555,Suntec Tower Three,8 Temasek,Singapore,,038988,Singapore
209,Mini Caravy,Frédérique ,Citeaux,88.60.1555,"24, place Kléber",,Strasbourg,,67000,France
211,"King Kong Collectables, Co.",Mike,Gao,+852 2251 1555,Bank of China Tower,1 Garden Road,Central Hong Kong,,,Hong Kong
216,Enaco Distributors,Eduardo ,Saavedra,(93) 203 4555,"Rambla de Cataluña, 23",,Barcelona,,08022,Spain
219,Boards & Toys Co.,Mary,Young,3105552373,4097 Douglas Av.,,Glendale,CA,92561,USA
223,Natürlich Autos,Horst ,Kloss,0372-555188,Taucherstraße 10,,Cunewalde,,01307,Germany
227,Heintze Collectables,Palle,Ibsen,86 21 3555,Smagsloget 45,,Århus,,8200,Denmark
233,Québec Home Shopping Network,Jean ,Fresnière,(514) 555-8054,43 rue St. Laurent,,Montréal,Québec,H1J 1C3,Canada
237,ANG Resellers,Alejandra ,Camino,(91) 745 6555,"Gran Vía, 1",,Madrid,,28001,Spain
239,Collectable Mini Designs Co.,Valarie,Thompson,7605558146,361 Furth Circle,,San Diego,CA,91217,USA
240,giftsbymail.co.uk,Helen ,Bennett,(198) 555-8888,Garden House,Crowther Way 23,Cowes,Isle of Wight,PO31 7PJ,UK
242,Alpha Cognac,Annette ,Roulet,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France
247,Messner Shopping Network,Renate ,Messner,069-0555984,Magazinweg 7,,Frankfurt,,60528,Germany
249,Amica Models & Co.,Paolo ,Accorti,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
250,Lyon Souveniers,Daniel,Da Silva,+33 1 46 62 7555,27 rue du Colonel Pierre Avia,,Paris,,75508,France
256,Auto Associés & Cie.,Daniel ,Tonini,30.59.8555,"67, avenue de l'Europe",,Versailles,,78000,France
259,"Toms Spezialitäten, Ltd",Henriette ,Pfalzheim,0221-5554327,Mehrheimerstr. 369,,Köln,,50739,Germany
260,"Royal Canadian Collectables, Ltd.",Elizabeth ,Lincoln,(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada
273,"Franken Gifts, Co",Peter ,Franken,089-0877555,Berliner Platz 43,,München,,80805,Germany
276,"Anna's Decorations, Ltd",Anna,O'Hara,02 9936 8555,201 Miller Street,Level 15,North Sydney,NSW,2060,Australia
278,Rovelli Gifts,Giovanni ,Rovelli,035-640555,Via Ludovico il Moro 22,,Bergamo,,24100,Italy
282,Souveniers And Things Co.,Adrian,Huxley,+61 2 9495 8555,Monitor Money Building,815 Pacific Hwy,Chatswood,NSW,2067,Australia
286,Marta's Replicas Co.,Marta,Hernandez,6175558555,39323 Spinnaker Dr.,,Cambridge,MA,51247,USA
293,BG&E Collectables,Ed,Harrison,+41 26 425 50 01,Rte des Arsenaux 41 ,,Fribourg,,1700,Switzerland
298,"Vida Sport, Ltd",Mihael,Holz,0897-034555,Grenzacherweg 237,,Genève,,1203,Switzerland
299,"Norway Gifts By Mail, Co.",Jan,Klaeboe,+47 2212 1555,Drammensveien 126A,PB 211 Sentrum,Oslo,,N 0106,Norway  
303,Schuyler Imports,Bradley,Schuyler,+31 20 491 9555,Kingsfordweg 151,,Amsterdam,,1043 GR,Netherlands
307,Der Hund Imports,Mel,Andersen,030-0074555,Obere Str. 57,,Berlin,,12209,Germany
311,"Oulu Toy Supplies, Inc.",Pirkko,Koskitalo,981-443655,Torikatu 38,,Oulu,,90110,Finland
314,Petit Auto,Catherine ,Dewey,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium
319,Mini Classics,Steve,Frick,9145554562,3758 North Pendale Street,,White Plains,NY,24067,USA
320,Mini Creations Ltd.,Wing,Huang,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA
321,Corporate Gift Ideas Co.,Julie,Brown,6505551386,7734 Strong St.,,San Francisco,CA,94217,USA
323,"Down Under Souveniers, Inc",Mike,Graham,+64 9 312 5555,162-164 Grafton Road,Level 2,Auckland  ,,,New Zealand
324,"Stylish Desk Decors, Co.",Ann ,Brown,(171) 555-0297,35 King George,,London,,WX3 6FW,UK
328,Tekni Collectables Inc.,William,Brown,2015559350,7476 Moss Rd.,,Newark,NJ,94019,USA
333,"Australian Gift Network, Co",Ben,Calaghan,61-7-3844-6555,31 Duncan St. West End,,South Brisbane,Queensland,4101,Australia
334,Suominen Souveniers,Kalle,Suominen,+358 9 8045 555,Software Engineering Center,SEC Oy,Espoo,,FIN-02271,Finland
335,"Cramer Spezialitäten, Ltd",Philip ,Cramer,0555-09555,Maubelstr. 90,,Brandenburg,,14776,Germany
339,"Classic Gift Ideas, Inc",Francisca,Cervantes,2155554695,782 First Street,,Philadelphia,PA,71270,USA
344,CAF Imports,Jesus,Fernandez,+34 913 728 555,Merchants House,27-30 Merchant's Quay,Madrid,,28023,Spain
347,"Men 'R' US Retailers, Ltd.",Brian,Chandler,2155554369,6047 Douglas Av.,,Los Angeles,CA,91003,USA
348,"Asian Treasures, Inc.",Patricia ,McKenna,2967 555,8 Johnstown Road,,Cork,Co. Cork,,Ireland
350,Marseille Mini Autos,Laurence ,Lebihan,91.24.4555,"12, rue des Bouchers",,Marseille,,13008,France
353,Reims Collectables,Paul ,Henriot,26.47.1555,59 rue de l'Abbaye,,Reims,,51100,France
356,"SAR Distributors, Co",Armand,Kuger,+27 21 550 3555,1250 Pretorius Street,,Hatfield,Pretoria,0028,South Africa
357,GiftsForHim.com,Wales,MacKinlay,64-9-3763555,199 Great North Road,,Auckland,,,New Zealand
361,Kommission Auto,Karin,Josephs,0251-555259,Luisenstr. 48,,Münster,,44087,Germany
362,Gifts4AllAges.com,Juri,Yoshido,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA
363,Online Diecast Creations Co.,Dorothy,Young,6035558647,2304 Long Airport Avenue,,Nashua,NH,62005,USA
369,"Lisboa Souveniers, Inc",Lino ,Rodriguez,(1) 354-2555,Jardim das rosas n. 32,,Lisboa,,1675,Portugal
376,Precious Collectables,Braun,Urs,0452-076555,Hauptstr. 29,,Bern,,3012,Switzerland
379,Collectables For Less Inc.,Allen,Nelson,6175558555,7825 Douglas Av.,,Brickhaven,MA,58339,USA
381,Royale Belge,Pascale ,Cartrain,(071) 23 67 2555,"Boulevard Tirou, 255",,Charleroi,,B-6000,Belgium
382,Salzburg Collectables,Georg ,Pipps,6562-9555,Geislweg 14,,Salzburg,,5020,Austria
385,Cruz & Sons Co.,Arnold,Cruz,+63 2 555 3587,15 McCallum Street,NatWest Center #13-03,Makati City,,1227 MM,Philippines
386,L'ordine Souveniers,Maurizio ,Moroni,0522-556555,Strada Provinciale 124,,Reggio Emilia,,42100,Italy
398,"Tokyo Collectables, Ltd",Akiko,Shimamura,+81 3 3584 0555,2-2-8 Roppongi,,Minato-ku,Tokyo,106-0032,Japan
406,Auto Canal+ Petit,Dominique,Perrier,(1) 47.55.6555,"25, rue Lauriston",,Paris,,75016,France
409,Stuttgart Collectable Exchange,Rita ,Müller,0711-555361,Adenauerallee 900,,Stuttgart,,70563,Germany
412,"Extreme Desk Decorations, Ltd",Sarah,McRoy,04 499 9555,101 Lambton Quay,Level 11,Wellington,,,New Zealand
415,"Bavarian Collectables Imports, Co.",Michael,Donnermeyer, +49 89 61 08 9555,Hansastr. 15,,Munich,,80686,Germany
424,Classic Legends Inc.,Maria,Hernandez,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA
443,"Feuer Online Stores, Inc",Alexander ,Feuer,0342-555176,Heerstr. 22,,Leipzig,,04179,Germany
447,Gift Ideas Corp.,Dan,Lewis,2035554407,2440 Pompton St.,,Glendale,CT,97561,USA
448,Scandinavian Gift Ideas,Martha,Larsson,0695-34 6555,Åkergatan 24,,Bräcke,,S-844 67,Sweden
450,The Sharp Gifts Warehouse,Sue,Frick,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
452,Mini Auto Werke,Roland ,Mendel,7675-3555,Kirchgasse 6,,Graz,,8010,Austria
455,Super Scale Inc.,Leslie,Murphy,2035559545,567 North Pendale Street,,New Haven,CT,97823,USA
456,Microscale Inc.,Yu,Choi,2125551957,5290 North Pendale Street,Suite 200,NYC,NY,10022,USA
458,"Corrida Auto Replicas, Ltd",Martín ,Sommer,(91) 555 22 82,"C/ Araquil, 67",,Madrid,,28023,Spain
459,Warburg Exchange,Sven ,Ottlieb,0241-039123,Walserweg 21,,Aachen,,52066,Germany
462,FunGiftIdeas.com,Violeta,Benitez,5085552555,1785 First Street,,New Bedford,MA,50553,USA
465,"Anton Designs, Ltd.",Carmen,Anton,+34 913 728555,"c/ Gobelas, 19-1 Urb. La Florida",,Madrid,,28023,Spain
471,"Australian Collectables, Ltd",Sean,Clenahan,61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia
473,Frau da Collezione,Franco,Ricotti,+39 022515555,20093 Cologno Monzese,Alessandro Volta 16,Milan,,,Italy
475,West Coast Collectables Co.,Steve,Thompson,3105553722,3675 Furth Circle,,Burbank,CA,94019,USA
477,Mit Vergnügen & Co.,Hanna ,Moos,0621-08555,Forsterstr. 57,,Mannheim,,68306,Germany
480,"Kremlin Collectables, Co.",Alexander ,Semenov,+7 812 293 0521,2 Pobedy Square,,Saint Petersburg,,196143,Russia
481,"Raanan Stores, Inc",Raanan,"Altagar,G M",+ 972 9 959 8555,3 Hagalim Blv.,,Herzlia,,47625,Israel
484,"Iberia Gift Imports, Corp.",José Pedro ,Roel,(95) 555 82 82,"C/ Romero, 33",,Sevilla,,41101,Spain
486,Motor Mint Distributors Inc.,Rosa,Salazar,2155559857,11328 Douglas Av.,,Philadelphia,PA,71270,USA
487,Signal Collectibles Ltd.,Sue,Taylor,4155554312,2793 Furth Circle,,Brisbane,CA,94217,USA
489,"Double Decker Gift Stores, Ltd",Thomas ,Smith,(171) 555-7555,120 Hanover Sq.,,London,,WA1 1DP,UK
495,Diecast Collectables,Valarie,Franco,6175552555,6251 Ingle Ln.,,Boston,MA,51003,USA
496,Kelly's Gift Shop,Tony,Snowden,+64 9 5555500,Arenales 1938 3'A',,Auckland  ,,,New Zealand
